Date,Temp
1/1/1989,15
2/1/1989,17.56
3/1/1989,17.56
4/1/1989,18.21
5/1/1989,18.64
6/1/1989,18.07
7/1/1989,17.94
8/1/1989,17.15
9/1/1989,17.02
10/1/1989,17.36
11/1/1989,17.86
12/1/1989,18.07
1/1/1990,19.24
2/1/1990,19.32
3/1/1990,18.83
4/1/1990,17.49
5/1/1990,16.3
6/1/1990,15.55
7/1/1990,14.81
8/1/1990,19.19
9/1/1990,28.03
10/1/1990,35.29
11/1/1990,33.57
12/1/1990,29.01
1/1/1991,25.48
2/1/1991,21.79
3/1/1991,17.72
4/1/1991,17.37
5/1/1991,18.01
6/1/1991,18.3
7/1/1991,18.56
8/1/1991,19
9/1/1991,19.49
10/1/1991,20.45
11/1/1991,21.04
12/1/1991,20.34
1/1/1992,18.32
2/1/1992,17.86
3/1/1992,17.35
4/1/1992,17.47
5/1/1992,18.2
6/1/1992,19.51
7/1/1992,20.67
8/1/1992,20.22
9/1/1992,19.64
10/1/1992,19.73
11/1/1992,19.47
12/1/1992,18.7
1/1/1993,17.89
2/1/1993,17.51
3/1/1993,18.42
4/1/1993,18.84
5/1/1993,18.67
6/1/1993,18.41
7/1/1993,17.44
8/1/1993,17.56
9/1/1993,17.01
10/1/1993,17.13
11/1/1993,16.07
12/1/1993,14.5
1/1/1994,15.04
2/1/1994,15.2
3/1/1994,14.46
4/1/1994,15.04
5/1/1994,15.76
6/1/1994,15.53
7/1/1994,17.56
8/1/1994,17.63
9/1/1994,16.38
10/1/1994,16.35
11/1/1994,15.42
12/1/1994,16.27
1/1/1995,17.17
2/1/1995,18.15
3/1/1995,18.2
4/1/1995,18.41
5/1/1995,18.5
6/1/1995,17.42
7/1/1995,16.21
8/1/1995,16.48
9/1/1995,16.58
10/1/1995,16.38
11/1/1995,16.96
12/1/1995,18.34
1/1/1996,19.35
2/1/1996,18.87
3/1/1996,19.19
4/1/1996,19.33
5/1/1996,18.94
6/1/1996,19.28
7/1/1996,19.71
8/1/1996,19.49
9/1/1996,21.02
10/1/1996,23.12
11/1/1996,22.6
12/1/1996,23.11
1/1/1997,24.13
2/1/1997,21.36
3/1/1997,19.24
4/1/1997,18.28
5/1/1997,18.77
6/1/1997,17.77
7/1/1997,17.56
8/1/1997,17.9
9/1/1997,17.67
10/1/1997,19.48
11/1/1997,19.14
12/1/1997,17.29
1/1/1998,14.47
2/1/1998,13.35
3/1/1998,12.04
4/1/1998,13.02
5/1/1998,12.57
6/1/1998,11.91
7/1/1998,12.55
8/1/1998,12.03
9/1/1998,11.83
10/1/1998,12.68
11/1/1998,11.57
12/1/1998,9.92
1/1/1999,10.99
2/1/1999,10.56
3/1/1999,12.03
4/1/1999,15.2
5/1/1999,16.29
6/1/1999,16.27
7/1/1999,18.11
8/1/1999,19.55
9/1/1999,21.8
10/1/1999,22.38
11/1/1999,23.74
12/1/1999,24.22
1/1/2000,24.57
2/1/2000,26.24
3/1/2000,27.19
4/1/2000,24.12
5/1/2000,27.96
6/1/2000,30.68
7/1/2000,30.16
8/1/2000,29.95
9/1/2000,32.95
10/1/2000,32.47
11/1/2000,31.06
12/1/2000,25.03
1/1/2001,24.12
2/1/2001,25.49
3/1/2001,25.39
4/1/2001,27.36
5/1/2001,28.18
6/1/2001,27.83
7/1/2001,25.04
8/1/2001,24.77
9/1/2001,24.68
10/1/2001,19.35
11/1/2001,18.06
12/1/2001,17.6
